2026-04-14 01:02:00 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:26:09 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/paid
2026-04-14 02:26:10 | error | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated | Logic error: App\Controllers\HaravanWebhookController::getOrCreateService(): Argument #1 ($item) must be of type array, string given, called in /www/wwwroot/ntt.eclo.io/app/Controllers/HaravanWebhookController.php on line 520
2026-04-14 02:26:11 | error | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated | Logic error: App\Controllers\HaravanWebhookController::getOrCreateService(): Argument #1 ($item) must be of type array, string given, called in /www/wwwroot/ntt.eclo.io/app/Controllers/HaravanWebhookController.php on line 520
2026-04-14 02:26:11 | error | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated | Logic error: App\Controllers\HaravanWebhookController::getOrCreateService(): Argument #1 ($item) must be of type array, string given, called in /www/wwwroot/ntt.eclo.io/app/Controllers/HaravanWebhookController.php on line 520

2026-04-14 02:40:08 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:51:24 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 02:51:25 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:51:26 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:53:32 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 02:53:34 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:53:35 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:55:06 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 02:55:19 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | shop/update
2026-04-14 02:59:03 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:03:34 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:03:37 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:03:38 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:05:13 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:05:14 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:05:15 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:05:17 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:13:50 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:13:52 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:13:53 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:15:45 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:15:46 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:15:48 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:15:50 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:25:08 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:26:55 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:26:56 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:26:57 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:26:59 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:41:17 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:41:18 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:41:20 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:41:21 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:43:38 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/create
2026-04-14 03:43:40 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:43:41 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
2026-04-14 03:43:43 | success | org:e027cf6e-538d-4257-9691-068b36e280f8 | orders/updated
